frame.number,frame.time_relative,frame.time_epoch,frame.len,frame.protocols,eth.type,ip.src,ip.dst,ip.ttl,ip.flags.df,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,http.request.method,http.request.uri,http.response.code,http.request_in,http.response_in,tls.handshake.type,tls.handshake.extensions.supported_version,tls.handshake.ciphersuite
61,1.459776900,1789973466.269374300,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,4880,2111,303,,,,,,,,4,,
62,1.459777600,1789973466.269375000,341,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,5183,2111,287,,,,,,,,4,,
63,1.459815000,1789973466.269412400,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0010,2111,5470,0,,,,,,,,,,
64,1.463934400,1789973466.273531800,275,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,5470,2111,221,,,,,,,,,,
65,1.463939200,1789973466.273536600,869,eth:ethertype:ip:tcp:tls:http:json,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,5691,2111,815,,,,/mcp,200,60,,,,
66,1.463984200,1789973466.273581600,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0010,2111,6506,0,,,,,,,,,,
67,1.464294700,1789973466.273892100,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0018,6506,2111,24,,,,,,,,,,
68,1.464389600,1789973466.273987000,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0014,2111,6530,0,,,,,,,,,,
69,1.464945100,1789973466.274542500,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0011,6530,2111,0,,,,,,,,,,
70,19.907204500,1789973484.716801900,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0002,0,0,0,,,,,,,,,,
